Song, Artist, Last Week, Peak Position, Weeks on Chart
"P. Diddy & Bad Boy Records Present... We Invented The Remix","Various Artists",-,1,1
"
Come Home With Me
","
Cam'ron
",-,-,-
"
Maladroit
","
Weezer
",-,-,-
"
18
","
Moby
",-,-,-
"
Juslisen (Just Listen)
","
Musiq
",1,1,2
"
Vapor Trails
","
Rush
",-,-,-
"
Ashanti
","
Ashanti
",4,1,7
"
A New Day Has Come
","
Celine Dion
",2,1,8
"
Now 9
","
Various Artists
",9,1,9
"
C'mon, C'mon
","
Sheryl Crow
",7,2,5
"
Spider-Man
","
Soundtrack
",6,4,3
"
Hood Rich
","
Big Tymers
",8,1,3
"
No Shoes, No Shirt, No Problems
 ","
Kenny Chesney
",5,1,4
"
MTV Unplugged No. 2.0
","
Lauryn Hill
",3,3,2
"
M!ssundaztood
","
P!nk
",12,6,26
"
Laundry Service
","
Shakira
",14,3,27
"
O Brother, Where Art Thou?
","
Soundtrack
",11,1,73
"
Josh Groban
","
Josh Groban
",10,8,23
"
Be Not Nobody
","
Vanessa Carlton
",13,5,3
"
 [Hybrid Theory]
","
Linkin Park
",18,2,82
"
Star Wars Episode II: Attack Of The Clones
","
London Symphony Orchestra (Williams)
",46,6,4
"
Room For Squares
","
John Mayer
",28,22,21
"
Word Of Mouf
","
Ludacris
",21,3,25
"
Come Clean
","
Puddle Of Mudd
",20,9,38
"
 Down The Road
","
Van Morrison
",-,-,-
"
Drive
","
Alan Jackson
",16,1,18
"
Someone To Love You
","
Ruff Endz
",-,-,-
"
Silver Side Up
","
Nickelback
",22,2,36
"
Rock Steady
","
No Doubt
",23,9,23
"
Toxicity
 ","
System Of A Down
",24,1,37
"
Full Moon
","
Brandy
",30,2,11
"
Iicons
","
Naughty By Nature
",15,15,2
"
Watermelon, Chicken & Gritz
","
Nappy Roots
",29,24,12
"
Southern Hummingbird
","
Tweet
",26,3,7
"
Come Away With Me
","
Norah Jones
",17,17,12
"
Ultimate Manilow
","
Barry Manilow
",40,3,15
"
J To Tha L-O! The Remixes
","
Jennifer Lopez
",49,1,15
"
The Scorpion King
","
Soundtrack
",25,5,8
"
8701
","
Usher
",31,4,41
"
Escape
","
Enrique Iglesias
",27,2,29
"
Pain Is Love
","
Ja Rule
",39,1,33
"
No More Drama (2002)
","
Mary J. Blige
",35,14,15
"
Silver Lining
","
Bonnie Raitt
",19,13,6
"
The Spirit Room
","
Michelle Branch
",37,28,40
"
B2K
","
B2K
",44,2,10
"
Satellite
","
P.O.D.
",43,6,36
"
J.O.S.E. : Jealous Ones Still Envy
","
Fat Joe
",41,21,24
"
Ecstasy
","
Avant
",38,6,8
"
Songs In A Minor
","
Alicia Keys
",36,1,47
"
The Best Of Both Worlds
","
R. Kelly & Jay-Z
",48,2,9
"
Weathered
","
Creed
",47,1,26
"
Stillmatic
","
Nas
",52,5,22
"
Bleed America
","
Jimmy Eat World
",56,53,33
"
Gutterflower
","
Goo Goo Dolls
",42,4,6
"
The Fallout
","
Default
",61,51,28
"
A Day Without Rain
","
Enya
",45,2,78
"
On A Wire
","
The Get Up Kids
",-,-,-
"
Brushfire Fairytales
","
Jack Johnson
",62,58,15
"
Yankee Hotel Foxtrot
","
Wilco
",57,13,4
"
Morning View
","
Incubus
",67,2,30
"
Alley: The Return Of The Ying Yang Twins
","
Ying Yang Twins
",65,58,8
"
Rascal Flatts
","
Rascal Flatts
",51,43,61
"
Blood Money
","
Tom Waits
",32,32,2
"
Under Rug Swept
","
Alanis Morissette
",50,1,12
"
Alice
 ","
Tom Waits
",33,33,2
"
In Search Of...
","
N*E*R*D
",97,61,10
"
Cee-Lo... Cee-Lo Green And His Perfect Imperfections
","
Cee-Lo
",53,11,4
"
Cocky
","
Kid Rock
",64,7,26
"
The Rebirth Of Kirk Franklin
","
Kirk Franklin
",60,4,13
"
Living Proof
","
Cher
",59,9,12
"
Part II
 ","
Brad Paisley
",68,31,19
"
Lost Angel
","
3rd Strike
",-,-,-
"
Acoustic Soul
","
India.Arie
",63,10,53
"
Born To Do It
","
Craig David
",88,11,44
"
Worship
","
Michael W. Smith
",58,20,36
"
Pull My Chain
","
Toby Keith
",76,9,38
"
Genesis
","
Busta Rhymes
",73,7,25
"
Purple World
","
Big Moe
",66,29,4
"
Britney
","
Britney Spears
",81,1,28
"
Blazing Arrow
","
Blackalicious
",75,49,3
"
Fever
","
Kylie Minogue
",70,3,12
"
WWF: Tough Enough 2
","
Soundtrack
",-,-,-
"
The Family Values Tour 2001
","
Various Artists
",55,55,2
"
White Blood Cells
","
The White Stripes
",100,61,11
"
Dark Days
","
Coal Chamber
",34,34,2
"
When I Was Cruel
","
Elvis Costello
",71,20,4
"
WWF: Forceable Entry
","
Various Artists
",69,3,8
"
Greatest Hits
","
Tim McGraw
",79,4,78
"
Set This Circus Down
","
Tim McGraw
",87,2,56
"
Hoobastank
","
Hoobastank
",86,25,26
"
[Ghetto Love]
","
Jaheim
",77,9,58
"
The Way I Feel
","
Remy Shand
",89,39,10
"
Almost There
","
MercyMe
",72,67,23
"
Mahogany Soul
","
Angie Stone
",91,22,28
"
When You Lie Next To Me
","
 Kellie Coffey
",54,54,2
"
Elva
","
Unwritten Law
",95,69,16
"
Shrek
","
Soundtrack
",96,28,53
"
RL:Ements
","
RL
",85,53,4
"
Break The Cycle
 ","
Staind
",104,1,52
"
Commencement
","
Deadsy
",-,-,-
"
Heavy Starch
","
Ali
",74,24,3
"
The Look Of Love
","
Diana Krall
",98,9,35
"
Louie DeVito's Dance Factory
","
Louie DeVito
",111,92,4
"
World Outside My Window
","
Glenn Lewis
",83,4,9
"
Alright Guy
","
Gary Allan
",108,39,13
"
 Are You Passionate?
","
Neil Young
",84,10,6
"
Totally Country
","
Various Artists
",94,12,15
"
Moulin Rouge
","
Soundtrack
",103,3,48
"
Coyote Ugly
","
Soundtrack
",106,10,94
"
{Sensual Journey}
","
Will Downing
",90,90,2
"
Greatest Hits
","
Kenny Chesney
",102,13,86
"
Far Side Of The World
","
Jimmy Buffett
",93,5,9
"
Complete Greatest Hits
","
Foreigner
",80,80,2
"
Down The Road I Go
","
Travis Tritt
",112,51,75
"
Tarantula
","
Mystikal
",119,25,22
