,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.153,https://api.spotify.com/v1/audio-analysis/4w8niZpiMy6qz1mntFA5uM,0.841,212500,0.798,4w8niZpiMy6qz1mntFA5uM,3.33e-06,1,0.0618,-4.206,0,0.229,95.948,4,https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM,audio_features,spotify:track:4w8niZpiMy6qz1mntFA5uM,0.591
1,0.128,https://api.spotify.com/v1/audio-analysis/6Gy7rXB6Ku5vIWC7WGWsl3,0.745,136032,0.715,6Gy7rXB6Ku5vIWC7WGWsl3,0.0,1,0.182,-3.368,0,0.245,94.513,4,https://api.spotify.com/v1/tracks/6Gy7rXB6Ku5vIWC7WGWsl3,audio_features,spotify:track:6Gy7rXB6Ku5vIWC7WGWsl3,0.342
2,0.0893,https://api.spotify.com/v1/audio-analysis/1oJ8EDr2pv94IvSd6ZmDgo,0.761,192405,0.672,1oJ8EDr2pv94IvSd6ZmDgo,9.77e-06,1,0.14,-5.887,1,0.212,160.077,3,https://api.spotify.com/v1/tracks/1oJ8EDr2pv94IvSd6ZmDgo,audio_features,spotify:track:1oJ8EDr2pv94IvSd6ZmDgo,0.437
3,0.0141,https://api.spotify.com/v1/audio-analysis/116H0KvKr2Zl4RPuVBruDO,0.817,210368,0.539,116H0KvKr2Zl4RPuVBruDO,0.000496,6,0.099,-6.349,0,0.0621,97.062,4,https://api.spotify.com/v1/tracks/116H0KvKr2Zl4RPuVBruDO,audio_features,spotify:track:116H0KvKr2Zl4RPuVBruDO,0.158
4,0.0115,https://api.spotify.com/v1/audio-analysis/4m5Cd9kAbIxg6t9sMrQWtk,0.82,135739,0.691,4m5Cd9kAbIxg6t9sMrQWtk,0.0,6,0.344,-6.646,0,0.0723,142.027,4,https://api.spotify.com/v1/tracks/4m5Cd9kAbIxg6t9sMrQWtk,audio_features,spotify:track:4m5Cd9kAbIxg6t9sMrQWtk,0.683
5,0.297,https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C,0.752,201661,0.488,5p7ujcrUXASCNwRaWNHR1C,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C,audio_features,spotify:track:5p7ujcrUXASCNwRaWNHR1C,0.533
6,0.191,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,0.687,214290,0.792,2dpaYNEQHiRxtZbfNsse99,0.0,5,0.167,-2.749,1,0.0452,100.015,4,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,audio_features,spotify:track:2dpaYNEQHiRxtZbfNsse99,0.671
7,0.071,https://api.spotify.com/v1/audio-analysis/7l3E7lcozEodtVsSTCkcaA,0.826,225199,0.615,7l3E7lcozEodtVsSTCkcaA,0.0,8,0.0965,-7.979,0,0.219,98.056,4,https://api.spotify.com/v1/tracks/7l3E7lcozEodtVsSTCkcaA,audio_features,spotify:track:7l3E7lcozEodtVsSTCkcaA,0.543
8,0.00513,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,0.834,312820,0.73,2xLMifQCjDGFmkHkpNLD9h,0.0,8,0.124,-3.714,1,0.222,155.008,4,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,audio_features,spotify:track:2xLMifQCjDGFmkHkpNLD9h,0.446
9,0.551,https://api.spotify.com/v1/audio-analysis/1A6OTy97kk0mMdm78rHsm8,0.753,158053,0.498,1A6OTy97kk0mMdm78rHsm8,0.0,2,0.0706,-5.61,1,0.0504,89.95,4,https://api.spotify.com/v1/tracks/1A6OTy97kk0mMdm78rHsm8,audio_features,spotify:track:1A6OTy97kk0mMdm78rHsm8,0.927
10,0.0834,https://api.spotify.com/v1/audio-analysis/6o79O9qBP3OAkWOXajAQIS,0.772,128769,0.812,6o79O9qBP3OAkWOXajAQIS,0.0,0,0.115,-3.995,0,0.153,97.407,4,https://api.spotify.com/v1/tracks/6o79O9qBP3OAkWOXajAQIS,audio_features,spotify:track:6o79O9qBP3OAkWOXajAQIS,0.655
11,0.172,https://api.spotify.com/v1/audio-analysis/7ATATJztoWLcqDAcVVof0C,0.635,217822,0.902,7ATATJztoWLcqDAcVVof0C,0.0,0,0.125,-3.559,1,0.109,102.063,4,https://api.spotify.com/v1/tracks/7ATATJztoWLcqDAcVVof0C,audio_features,spotify:track:7ATATJztoWLcqDAcVVof0C,0.286
12,0.371,https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B,0.572,215733,0.385,2VxeLyX666F8uXCJ0dZF8B,0.0,7,0.231,-6.362,1,0.0308,95.799,4,https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B,audio_features,spotify:track:2VxeLyX666F8uXCJ0dZF8B,0.323
13,0.0302,https://api.spotify.com/v1/audio-analysis/2LskIZrCeLxRvCiGP8gxlh,0.703,198903,0.723,2LskIZrCeLxRvCiGP8gxlh,2.06e-06,9,0.126,-5.45,0,0.0412,104.969,4,https://api.spotify.com/v1/tracks/2LskIZrCeLxRvCiGP8gxlh,audio_features,spotify:track:2LskIZrCeLxRvCiGP8gxlh,0.288
14,0.979,https://api.spotify.com/v1/audio-analysis/14JzyD6FlBD5z0wV5P07YI,0.498,199931,0.104,14JzyD6FlBD5z0wV5P07YI,7.86e-05,1,0.0895,-14.08,0,0.0621,124.001,3,https://api.spotify.com/v1/tracks/14JzyD6FlBD5z0wV5P07YI,audio_features,spotify:track:14JzyD6FlBD5z0wV5P07YI,0.205
15,0.194,https://api.spotify.com/v1/audio-analysis/1xzBco0xcoJEDXktl7Jxrr,0.729,183907,0.625,1xzBco0xcoJEDXktl7Jxrr,0.00986,4,0.248,-5.266,1,0.0315,146.034,4,https://api.spotify.com/v1/tracks/1xzBco0xcoJEDXktl7Jxrr,audio_features,spotify:track:1xzBco0xcoJEDXktl7Jxrr,0.261
16,0.0691,https://api.spotify.com/v1/audio-analysis/25sgk305KZfyuqVBQIahim,0.719,187436,0.704,25sgk305KZfyuqVBQIahim,0.0,1,0.166,-4.724,1,0.0476,133.002,4,https://api.spotify.com/v1/tracks/25sgk305KZfyuqVBQIahim,audio_features,spotify:track:25sgk305KZfyuqVBQIahim,0.628
17,0.254,https://api.spotify.com/v1/audio-analysis/7tFiyTwD0nx5a1eklYtX2J,0.397,354320,0.396,7tFiyTwD0nx5a1eklYtX2J,0.0,3,0.268,-9.91,1,0.05,142.913,4,https://api.spotify.com/v1/tracks/7tFiyTwD0nx5a1eklYtX2J,audio_features,spotify:track:7tFiyTwD0nx5a1eklYtX2J,0.227
