Artistes;followers;posts
georgeezra;177.0;0.0
jessglynne;665260.0;284.0
ritaora;14202706.0;2891.0
pink;5208241.0;871.0
jamesarthur;89.0;120.0
zaralarsson;5414798.0;3569.0
khalid;2844.0;121.0
arianagrande;136658238.0;3750.0
marshmelloftbastille;;
calvinharris&samsmith;;
panicatthedisco;4458968.0;1324.0
bennyblanco/halsey/khalid;;
frenchmontanaftdrake;;
ladygaga&bradleycooper;;
freyaridings;100057.0;402.0
cadet&denodriz;;
postmaloneftswaelee;;
mk/jonasblue/beckyhill;;
badbunnyftdrake;;
littlemixftnickiminaj;;
halsey;708.0;1.0
pinkfong;2.0;0.0
kodakblack/scott/offset;;
djsnake/gomez/cardib/ozuna;;
daveftfredo;;
jonasblue/liampayne/lennon;;
bennyblanco&calvinharris;;
avamax;86922.0;262.0
littlemixftsharayaj;;
sheckwes;607537.0;257.0
tomwalker;327.0;454.0
cleanbandit/marina/luisfonsi;;
jamesarthur&anne-marie;;
billieeilish;0.0;98.0
plug/nafesmallz/mhuncho;;
settle/greatestshowmanens;;
xxxtentacion/pump/maluma/swae;;
charlixcxfttroyesivan;;
elliegoulding/diplo/swaelee;;
edsheeran;1152225.0;690.0
onedirection;17104637.0;726.0
taylorswift;113495316.0;249.0
samsmith;10945165.0;611.0
elliegoulding;13954207.0;42.0
justinbieber;103118409.0;4380.0
littlemix;10512366.0;2977.0
brunomars;21787842.0;448.0
adele;32267477.0;346.0
ollymurs;2406598.0;2416.0
wanted;655.0;0.0
katyperry;73805711.0;1055.0
rihanna;;
maroon5;6923946.0;968.0
weeknd;0.0;2.0
drake;594201.0;215.0
jasonderulo;4052416.0;85.0
avicii;7924578.0;1287.0
script;1692.0;45.0
saturdays;22767.0;3202.0
eminem;24432933.0;402.0
christinaperri;971252.0;6236.0
jessiej;7554132.0;8651.0
emelisande;402742.0;218.0
dualipa;22223073.0;2773.0
calvinharris;10275175.0;1848.0
rizzlekicks;213151.0;86.0
ladygaga;31454446.0;2974.0
sia;556.0;16.0
shawnmendes;38129116.0;2008.0
example;495274.0;4746.0
florida;11457.0;41.0
weekndftdaftpunk;;
bastille;1767.0;117.0
nickiminaj;95642544.0;5733.0
justintimberlake;53080853.0;641.0
niallhoran;21659325.0;1190.0
onerepublic;1917673.0;1021.0
mileycyrus;75767810.0;1.0
anne-marie;;
eminemftrihanna;9.0;2.0
johnlegend;9154755.0;1459.0
years&years;;
maroon5ftsza;;
rcityftadamlevine;;
davidguettaftsia;;
zaynftsia;14.0;0.0
disclosureftsamsmith;;
drakeftmajidjordan;;
pixielott;608262.0;3247.0
chainsmokersftdaya;;
mabelftkojofunds;;
nico&vinz;;
stefflondon&frenchmontana;;
demilovato;;
twentyonepilots;7227730.0;1128.0
noelgallagher'shighflying;;
aviciiftritaora;;
ellahenderson;1450.0;52.0
hozier;933446.0;327.0
camilacabelloftyoungthug;;
piamiaftchrisbrown&tyga;;
sigala;49.0;0.0
meghantrainor;14525.0;644.0
mumford&sons;;
dappy;6.0;59.0
calvinharrisftjohnnewman;;
mcfly;178.0;790.0
maroon5ftchristinaaguilera;;
siaftkendricklamar;;
jls;;
jasonderuloft2chainz;;
ollymursftrizzlekicks;;
jbalvin/willywilliam;;
