Artists;presence_in_top_per_month;followers;posts
eminem;299;24433803.0;402.0
drake;257;594214.0;215.0
taylorswift;218;113498341.0;249.0
michaeljackson;196;2684127.0;175.0
zacbrownband;191;669272.0;1212.0
blakeshelton;191;2656578.0;203.0
lukebryan;175;4607200.0;880.0
brunomars;165;21788227.0;448.0
adele;164;32267523.0;346.0
thebeatles;148;1959603.0;687.0
justinbieber;128;103121112.0;4380.0
edsheeran;128;1152221.0;690.0
kendricklamar;126;9585867.0;26.0
imaginedragons;123;4569271.0;1544.0
jasonaldean;121;2610160.0;713.0
theweeknd;118;19929322.0;65.0
floridageorgialine;114;1931070.0;107.0
kidzbopkids;110;80.0;3.0
j.cole;109;511789.0;66.0
beyonce;108;120980194.0;1710.0
lanadelrey;108;12526761.0;323.0
ericchurch;107;237.0;106.0
journey;107;5173.0;13.0
maroon5;104;6924194.0;968.0
fivefingerdeathpunch;101;283.0;0.0
bobmarleyandthewailers;100;1.0;0.0
ladyantebellum;97;1435959.0;1629.0
metallica;96;5011182.0;2912.0
carrieunderwood;93;8145973.0;1052.0
kanyewest;93;;
creedenceclearwaterrevivalfeaturingjohnfogerty;92;;
mumford&sons;91;;
rihanna;90;;
future;89;12727800.0;24.0
onedirection;87;17104736.0;726.0
ladygaga;86;31454931.0;2974.0
katyperry;86;73807601.0;1055.0
twentyonepilots;84;7227915.0;1128.0
gunsn'roses;81;;
timmcgraw;80;912.0;0.0
mirandalambert;78;3494921.0;639.0
originalbroadwaycastrecording;78;1593.0;1250.0
michaelbuble;77;2069137.0;762.0
panic!atthedisco;75;;
fleetwoodmac;75;461.0;125.0
p!nk;73;;
castingcrowns;71;72.0;0.0
kennychesney;71;1202876.0;494.0
elvispresley;71;;
ledzeppelin;70;656722.0;107.0
g-eazy;67;;
linkinpark;67;5152603.0;1477.0
samsmith;67;10945792.0;611.0
theblackkeys;67;285502.0;260.0
chrisstapleton;65;1196214.0;773.0
bobseger&thesilverbulletband;63;;
arianagrande;63;136667162.0;3750.0
brantleygilbert;63;1173612.0;417.0
christomlin;63;;
rascalflatts;62;;
nickelback;62;;
thomasrhett;62;;
eagles;62;;
keithurban;61;;
pinkfloyd;61;;
foofighters;60;;
falloutboy;60;;
queen;60;;
lilwayne;59;;
shawnmendes;59;;
nickiminaj;59;;
ac/dc;58;;
thelumineers;57;;
chrisbrown;57;;
childishgambino;55;;
florence+themachine;55;;
johnnycash;55;;
franksinatra;54;;
kidrock;54;;
onerepublic;54;;
kellyclarkson;53;;
logic;53;;
halsey;51;;
samhunt;50;;
2pac;50;;
liluzivert;50;;
thechainsmokers;49;;
trans-siberianorchestra;49;;
eltonjohn;49;;
redhotchilipeppers;49;;
georgestrait;49;;
dierksbentley;48;;
lynyrdskynyrd;46;;
chrisyoung;46;;
demilovato;46;;
joshgroban;46;;
sia;45;;
wizkhalifa;45;;
treysongz;44;;
coldplay;44;;
brysontiller;44;;
bigsean;43;;
pentatonix;43;;
tompettyandtheheartbreakers;43;;
train;43;;
kevingates;42;;
raesremmurd;42;;
travisscott;41;;
skillet;41;;
skrillex;41;;
bonjovi;41;;
thebandperry;40;;
bradpaisley;40;;
meghantrainor;40;;
coleswindell;40;;
hozier;40;;
mercyme;39;;
justintimberlake;39;;
frankocean;39;;
dariusrucker;39;;
billyjoel;39;;
lorde;39;;
littlebigtown;38;;
elliegoulding;38;;
ericclapton;37;;
a$aprocky;37;;
xxxtentacion;36;;
newsboys;36;;
kidcudi;36;;
willienelson;35;;
ke$ha;35;;
selenagomez&thescene;35;;
whitneyhouston;35;;
daughtry;35;;
laurendaigle;34;;
lindseystirling;34;;
nirvana;34;;
thenotoriousb.i.g.;34;;
kingsofleon;33;;
disturbed;33;;
pitbull;33;;
leebrice;33;;
miguel;33;;
tobymac;33;;
usher;33;;
johnmayer;33;;
charlieputh;32;;
susanboyle;32;;
prince;32;;
alanjackson;32;;
hunterhayes;32;;
migos;32;8923875.0;2889.0
jasonderulo;32;;
olddominion;31;;
davidguetta;31;;
mariahcarey;31;;
postmalone;31;;
guccimane;31;;
5secondsofsummer;30;;
avengedsevenfold;30;;
awolnation;30;;
2chainz;30;;
jonpardi;30;;
justinmoore;30;;
arcticmonkeys;30;;
shinedown;30;;
kodakblack;30;;
theblackeyedpeas;30;;
the1975;29;;
jay-z;29;;
thecivilwars;29;;
rickross;29;;
ofmonstersandmen;29;;
alabamashakes;29;;
tobykeith;29;;
andreabocelli;28;;
chancetherapper;28;;
scottymccreery;28;;
paramore;28;;
djkhaled;28;;
amywinehouse;28;;
greenday;28;;
garthbrooks;28;;
melaniemartinez;27;;
neildiamond;27;;
meekmill;27;;
thirdday;27;;
kanebrown;27;;
florida;27;;
therollingstones;26;;
davidbowie;26;;
aboogiewitdahoodie;26;;
kelseaballerini;26;;
muse;26;;
kaceymusgraves;25;;
jakeowen;25;;
johnlegend;25;;
sugarland;25;;
lionelrichie;24;;
maryj.blige;24;;
youngboyneverbrokeagain;24;;
r.kelly;24;;
calvinharris;24;;
beastieboys;24;;
marenmorris;24;;
selenagomez;24;;
jheneaiko;24;;
deadmau5;23;;
brettyoung;23;;
mileycyrus;23;;
fun.;23;;
billycurrington;23;;
tamelamann;23;;
macklemore&ryanlewis;23;;
khalid;23;;
alessiacara;23;;
aerosmith;23;;
daftpunk;22;;
phillipphillips;22;;
drake&future;22;;
vampireweekend;22;;
jackjohnson;21;;
fifthharmony;21;;
jackieevancho;21;;
jasonmraz;21;;
thetemptations;21;;
thepianoguys;21;;
fettywap;21;;
bastille;21;;
fosterthepeople;21;;
kem;21;;
russ;21;;
barbrastreisand;21;;
jamesbay;20;;
bts;20;;
foreigner;20;;
celticwoman;20;;
alt-j;20;;
sarabareilles;20;;
lukecombs;20;;
jimihendrix;20;;
thescript;20;;
norahjones;20;;
playboicarti;20;;
colbiecaillat;20;;
joshturner;19;;
robinthicke;19;;
dr.dre;19;;
aliciakeys;19;;
bigtimerush;19;;
volbeat;19;;
threedognight;19;;
mannheimsteamroller;19;;
majorlazer;19;;
pistolannies;19;;
tyler,thecreator;19;;
enriqueiglesias;19;;
halestorm;19;;
hillsongunited;19;;
simon&garfunkel;19;;
jeremih;19;;
xambassadors;18;;
macmiller;18;;
jennirivera;18;;
jamestaylor;18;;
vinceguaralditrio;18;;
jackwhite;18;;
sza;18;;
threedaysgrace;18;;
lilyachty;18;;
kipmoore;18;;
celinedion;18;;
adamlambert;18;;
6lack;18;;
arcadefire;18;;
breakingbenjamin;18;;
sade;18;;
ozuna;18;;
thirtysecondstomars;18;;
brucespringsteen;18;;
dualipa;17;;
straightnochaser;17;;
b.o.b;17;577.0;0.0
lilbaby;17;;
jameyjohnson;17;50.0;32.0
bingcrosby;17;15.0;0.0
t.i.;17;;
lecrae;17;1412332.0;240.0
youngthug;17;758492.0;179.0
trippieredd;17;5969869.0;82.0
reba;17;1379693.0;1520.0
elleking;17;185971.0;3794.0
tovelo;16;1544650.0;2264.0
nf;16;;
cagetheelephant;16;392289.0;895.0
needtobreathe;16;304075.0;684.0
shakira;16;55146253.0;1338.0
walkthemoon;16;239.0;0.0
thexx;16;660774.0;893.0
beberexha;16;6748577.0;1575.0
pearljam;16;1834474.0;2611.0
yogotti;16;3885129.0;33.0
portugal.theman;16;13.0;19.0
chaserice;16;871131.0;709.0
21savage&metroboomin;16;;
avicii;15;7924446.0;1287.0
schoolboyq;15;5830.0;344.0
theavettbrothers;15;199476.0;612.0
phoenix;15;527.0;2956.0
motleycrue;15;261142.0;321.0
bretteldredge;15;1456471.0;1309.0
iggyazalea;15;;
tenthavenuenorth;15;29.0;8.0
jayzkanyewest;15;4.0;0.0
nickjonas;15;17762913.0;1448.0
tonybennett;15;56.0;17.0
yg;15;4789910.0;17.0
lmfao;15;8517.0;74.0
mandisa;15;1158.0;770.0
wale;15;3260623.0;42.0
eastoncorbin;15;307473.0;938.0
tydolla$ign;15;;
christinaperri;15;971252.0;6236.0
thebeachboys;15;1631.0;381.0
princeroyce;15;10478026.0;1251.0
troyesivan;14;9482070.0;1288.0
pharrellwilliams;14;7073.0;3.0
nav;14;1398073.0;516.0
danielcaesar;14;851174.0;11.0
boniver;14;456176.0;277.0
vancejoy;14;507623.0;712.0
francescabattistelli;14;129.0;0.0
hankwilliamsjr.;14;;
blink-182;14;;
jerrodniemann;14;;
coltford;14;1303.0;100.0
britneyspears;14;21496828.0;2144.0
rachelplatten;14;528458.0;2754.0
bobdylan;14;43739.0;35.0
creedenceclearwaterrevisited;14;;
ne-yo;14;;
h.e.r.;13;;
pnbrock;13;1707429.0;170.0
amygrant;13;511.0;299.0
paulmccartney;13;2251208.0;77.0
passenger;13;;
rodstewart;13;;
kidink;13;;
michaelw.smith;13;;
jamesarthur;13;;
theneighbourhood;13;;
owlcity;13;;
gretavanfleet;13;;
mychemicalromance;13;;
jimmybuffett;13;;
romeosantos;13;;
kennyg;13;;
bringmethehorizon;13;;
kirkfranklin;13;;
daya;13;;
davematthewsband;13;;
neontrees;12;;
martinamcbride;12;;
a$apferg;12;;
hollywoodundead;12;;
marvinsapp;12;;
andygrammer;12;;
ilvolo;12;;
21savage,offset&metroboomin;12;;
nathanielrateliff&thenightsweats;12;;
gorillaz;12;;
thegame;12;;
brokenbells;12;;
ceelogreen;12;;
blackbear;12;;
ettajames;12;;
augustalsina;12;;
billieeilish;12;;
garyallan;12;;
joey+rory;12;;
boyziimen;12;;
tashacobbs;12;;
dan+shay;12;;
techn9ne;12;;
21savage;12;;
markronson;11;;
jonbellion;11;;
thenational;11;;
thedecemberists;11;;
lilskies;11;;
princeandtherevolution;11;;
fantasia;11;;
gotye;11;;
mikeposner;11;;
paulsimon;11;;
teegrizzley;11;;
mgmt;11;;
harrystyles;11;;
brooks&dunn;11;;
jessiej;11;;
neilyoung;11;;
forking&country;11;;
johnnycash&willienelson;11;;
camilacabello;11;;
santana;11;;
eliyoungband;11;;
hillsongworship;11;;
theoryofadeadman;11;;
tyrese;11;;
godsmack;11;;
rush;11;;
sublime;11;180710.0;826.0
traceadkins;11;;
chevelle;11;;
christinaaguilera;10;;
thedirtyheads;10;;
lukasgraham;10;;
saraevans;10;;
youngmoney;10;;
gratefuldead;10;;
dnce;10;;
riseagainst;10;;
tank;10;;
thompsonsquare;10;;
gunna;10;;
torylanez;10;;
lupefiasco;10;;
lildicky;10;;
mannheimsteamrollerwithmembersoftheczechphilharmonicorchestra;10;;
badmeetsevil;10;;
50cent;10;;
jeremycamp;10;;
barrywhite;10;;
davidcrowderband;10;;
inthismoment;10;;
aaronlewis;10;;
zedd;10;;
madonna;10;;
defleppard;10;;
dustinlynch;10;;
wakaflockaflame;10;;
n.w.a;10;;
laurastory;9;;
maxwell;9;;
johnnymathis;9;;
theheadandtheheart;9;;
flume;9;;
omarion;9;;
k.michelle;9;;
anthonyhamilton;9;;
marshaambrosius;9;;
edwardsharpe&themagneticzeros;9;;
beck;9;;
jaheim;9;;
6ix9ine;9;;
melaniefiona;9;;
tyga;9;;
celticthunder;9;;
evanescence;9;;
seether;9;;
chrisettemichele;9;;
thekillers;9;;
slipknot;9;;
janellemonae;9;;
georgeezra;9;;
skrillex&diplo;9;;
d.r.a.m.;9;;
youngthegiant;9;;
juangabriel;9;;
abba;9;;
